Stock Name,Field,EPS_2009,EPS_2010,EPS_2011,EPS_2012,EPS_2013,EPS_2014,EPS_2015,EPS_2016,EPS_2017,EPS_2018,EPS_2019,EPS_2020,BV_2009,BV_2010,BV_2011,BV_2012,BV_2013,BV_2014,BV_2015,BV_2016,BV_2017,BV_2018,BV_2019,BV_2020,PE_2009,PE_2010,PE_2011,PE_2012,PE_2013,PE_2014,PE_2015,PE_2016,PE_2017,PE_2018,PE_2019,PE_2020,ROA_2009,ROA_2010,ROA_2011,ROA_2012,ROA_2013,ROA_2014,ROA_2015,ROA_2016,ROA_2017,ROA_2018,ROA_2019,ROA_2020,ROE_2009,ROE_2010,ROE_2011,ROE_2012,ROE_2013,ROE_2014,ROE_2015,ROE_2016,ROE_2017,ROE_2018,ROE_2019,ROE_2020,ROS_2009,ROS_2010,ROS_2011,ROS_2012,ROS_2013,ROS_2014,ROS_2015,ROS_2016,ROS_2017,ROS_2018,ROS_2019,ROS_2020,GOS_2009,GOS_2010,GOS_2011,GOS_2012,GOS_2013,GOS_2014,GOS_2015,GOS_2016,GOS_2017,GOS_2018,GOS_2019,GOS_2020,DAR_2009,DAR_2010,DAR_2011,DAR_2012,DAR_2013,DAR_2014,DAR_2015,DAR_2016,DAR_2017,DAR_2018,DAR_2019,DAR_2020,EPS_,BV_,PE_,ROA_,ROE_,ROS_,GOS_,DAR_,EPS_2008,BV_2008,PE_2008,ROA_2008,ROE_2008,ROS_2008,GOS_2008,DAR_2008,EPS_2007,BV_2007,PE_2007,ROA_2007,ROE_2007,ROS_2007,GOS_2007,DAR_2007,EPS_2006,BV_2006,PE_2006,ROA_2006,ROE_2006,ROS_2006,GOS_2006,DAR_2006
APC,Agriculture,3.32,2.3,3.02,1.13,1.36,2.16,2.24,3.22,,5.86,4.41,2.13,13.74,12.81,13.53,13.39,13.75,14.27,15.82,18.12,22.53,28.28,29.74,31.81,,5.65,4.8,9.03,10,8.15,8.26,5.73,,5.35,4.59,11.41,22.1,15.18,12.52,5.21,7,11.29,11.72,16.88,22.04,20.04,5.47,4.5,24.19,17.12,22.3,8.45,9.88,14.57,14.35,19,24.49,21.88,9.35,7.12,46.86,37.43,29.78,12.83,16.97,25.58,26.8,37.47,43.08,44.85,39.05,32.1,61.13,57.65,56.37,45.98,46.64,51.78,53.02,56.22,70.18,72.18,67.72,58.48,8.64,11.34,43.86,38.39,29.19,22.55,18.33,11.13,9.98,8.42,41.54,36.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,Agriculture,10.81,15.85,1.95,0.33,0.63,1.7,0.62,0.79,0.79,4.29,,1.84,30.23,40.38,16.75,17.05,14.74,11.81,11.08,12.02,11.74,23.71,,26.55,,3.97,11.44,26.36,10.79,5.06,26.61,18.61,13.42,1.82,,9.18,7.96,12.62,4.82,0.84,1.52,3.59,2.19,3.55,3.1,8.67,,2.7,20.18,39.25,9.99,1.95,3.62,7.04,3.52,6.55,6.13,18.1,,6.92,11.05,28.4,7.61,1.3,2.24,7.43,9.72,12.31,8.29,11.69,,3.8,17.55,31.62,21.16,11.83,10.78,16.46,21.51,24.48,11.9,12.03,,10.78,60.34,67.73,51.6,56.97,57.91,48.51,37.67,45.81,49.36,52.09,,60.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAG,Agriculture,4.43,4.9,2.5,0.65,1.32,1.87,0.61,-1.44,0.08,0.13,0.23,-1.35,17.42,29.4,20.11,18.15,17.9,18.02,20.59,21.1,19.18,18.13,18.12,10.81,17.61,16.53,7.8,33.23,15.53,11.82,17.05,-3.72,91.88,37.54,17.3,-3.89,9.75,11.15,4.57,1.12,2.84,4.05,1.02,-2.15,0.13,0.24,0.56,-3.37,25.23,22.86,12.43,3.59,6.58,10.35,3.09,-6.82,0.39,0.7,1.29,-12.52,27.23,46.27,37.08,7.96,30.53,48.27,8.03,-17.65,1.44,2.18,10.43,-39.53,45.97,50.66,45.2,27.32,43.16,40.17,29.66,15.67,35.77,44.07,10.98,6.48,57.96,46.6,60.58,65.4,54.65,57.68,66.96,68.4,66.48,65.06,56.49,73.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNG,Agriculture,,,,-0.02,1.57,1.9,1.09,-1.3,0.69,-0.76,-2.52,0.02,,,,14.33,15.49,17.21,13.95,13.67,13.23,12.04,8.78,7.83,,,,,,,26.42,-4.77,13.86,-21.05,-5.52,727.5,,,,-0.06,4.55,4.47,2.67,-2.78,1.63,-2.16,-10.42,0.08,,,,-0.12,9.75,11.05,7.33,-9.39,5.2,-6.17,-24.91,0.24,,,,-4.8,36.97,34.29,15.32,-20.62,15.88,-17.87,-133.97,0.88,,,,29.77,56.13,46.46,26.15,10.68,36.57,40.7,11.77,6.19,,,,49.76,53.15,59.4,63.55,70.44,68.55,65.03,58.17,64.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSL,Agriculture,,,,,,,,3.07,1.88,2.01,,0.66,,,,,,,,11.45,13.33,12.14,14.91,14.33,,,,,,,,,,6.02,,9.23,,,,,,,,12.14,13.93,17.22,19.15,4.54,,,,,,,,12.15,14.1,18.37,20.06,4.79,,,,,,,,10.49,10.67,11.22,10.14,4.85,,,,,,,,11.09,11.14,11.56,10.97,5.59,,,,,,,,0.07,1.18,6.25,4.56,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSC,Agriculture,5.38,5.38,7.52,7.74,9.52,9.41,9.26,11.46,13.79,13.59,11.49,10.82,21.54,25.26,25.96,26.69,32.2,48.71,65.55,70.98,69.26,59.85,64.17,68.31,,,,,,,,,,,,,13.51,14.26,16.94,19.74,21.72,12.88,9.09,11.79,13.5,15.3,11.42,10.56,19.32,21.03,28.66,28.99,29.55,16.48,14.13,16.14,19.9,22.69,17.89,15.83,12.37,11.06,12.63,14.18,15.97,17.07,11.34,13.17,13.94,14.87,13.3,11.64,31.05,32,33.21,36.35,39.39,39.95,36.45,37.5,37.07,35.69,35.81,34.15,30.09,32.19,39.77,30.89,25.55,21.23,35.63,26.97,32.16,32.58,36.16,33.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJF,Agriculture,,,,,,0.33,1.1,0.98,0.65,0.59,0.06,-0.35,,,,,,10.01,11.83,12.83,12.82,10.97,10.88,10.53,,,,,,,,,25.15,14.66,36.33,-7.14,,,,,,0.05,2.85,5.74,3.49,3.62,0.41,-2.39,,,,,,0.1,3.64,7.61,5.09,5.4,0.58,-3.33,,,,,,1.93,9.2,5.61,4.69,8.63,0.76,-7.48,,,,,,1.01,6.84,6.44,3.14,10.72,5.07,4.75,,,,,,33.17,21.79,24.5,31.38,33.04,29.62,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSC,Agriculture,5.1,4.73,3.88,4.58,5.15,5.78,2.95,2.2,,,5.07,3.03,17.47,13.75,15.22,17.86,20.04,24.89,23.94,23.21,,,21.95,22.85,10.69,5.48,7.22,7.21,8.93,9.34,19.32,17.77,,,11.89,16.7,20.99,19.16,18.3,16.07,16.46,16.07,9.24,8.72,,,15.58,8.31,28.99,24.17,25.31,25.46,25.64,23.13,12.9,9.96,,,22.44,11.7,19.62,16.01,15.06,14.84,12.78,14.18,8.87,7.81,,,12.07,8.9,39.95,35.15,37.59,32.4,26.65,31.34,30.02,29.5,,,28.37,22.51,27.18,20.11,27.26,36.61,35.6,30.33,28.41,12.46,,,30.56,28.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMC,Minerals,2.62,2.82,11.06,7.77,6.46,1.7,0.97,0.74,0.78,1,1.3,1.2,14.57,14.64,22.76,16.43,17.31,18.01,15.79,15.43,15.53,15.83,16.21,16.32,25.76,8.94,2.32,6.25,6.24,15.65,17.22,20.54,19.23,13.5,10.69,11.83,14.23,13.71,35.48,31.87,29.33,8.21,5.08,4.21,4.28,5.49,7.27,6.52,17.95,19.24,48.61,42.43,37.31,9.44,6.17,4.83,5.03,6.86,8,7.37,24.76,22.09,29.57,26.08,21.48,13.69,9.8,8.41,4.45,10.18,8.42,6.6,40.85,35.49,42.23,48.27,38.6,30.44,25.04,17.73,14.62,31.02,23.71,24.16,20.75,28.7,27,24.88,21.39,13.08,17.69,12.9,14.85,19.98,9.12,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C32,Minerals,2.96,3.75,4.78,3.85,5.95,6.41,8.41,8.33,6.76,6.15,4.72,5.07,13.09,14.34,15.25,16.36,19.64,23.24,29.08,33.95,32.2,32.71,34.05,36.61,,,0.5,3.53,3.92,4.65,4.09,5.67,5.67,4.24,4.79,5.34,14.27,17.32,19.65,14.73,20.18,19.23,22.74,16.88,12.26,11.81,8.47,8.52,22.62,26.14,31.33,23.51,30.28,27.59,31.1,24.54,20.83,18.81,14.82,15.1,12.69,13.78,14.34,12.94,15.58,15.83,18.17,17.94,16.37,12.8,9.46,13.02,22.61,24.35,23.28,22.71,26.64,24.27,25.91,26.48,25.19,23.51,15.54,19.7,36.92,33.76,37.27,37.37,33.36,30.3,26.89,31.22,41.15,37.19,42.85,43.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
