Stock Name,Field
APC,Agriculture
ASM,Agriculture
HAG,Agriculture
HNG,Agriculture
HSL,Agriculture
NSC,Agriculture
SJF,Agriculture
SSC,Agriculture
BMC,Minerals
C32,Minerals
DHA,Minerals
DHM,Minerals
KSB,Minerals
LCM,Minerals
MDG,Minerals
NNC,Minerals
PVD,Minerals
TNT,Minerals
ASP,Energy
BTP,Energy
BWE,Energy
CHP,Energy
CLW,Energy
CNG,Energy
DRL,Energy
GAS,Energy
GEG,Energy
HID,Energy
KHP,Energy
NT2,Energy
PGC,Energy
PGD,Energy
POW,Energy
PPC,Energy
S4A,Energy
SBA,Energy
SHP,Energy
SII,Energy
SJD,Energy
TBC,Energy
TDM,Energy
TDW,Energy
TMP,Energy
TTA,Energy
TTE,Energy
UIC,Energy
VPD,Energy
VSH,Energy
AGG,Construction
BCE,Construction
BCG,Construction
BCM,Construction
C47,Construction
CCL,Construction
CDC,Construction
CEE,Construction
CIG,Construction
CII,Construction
CKG,Construction
CRE,Construction
CTD,Construction
CTI,Construction
D2D,Construction
DC4,Construction
DIG,Construction
DPG,Construction
DRH,Construction
DTA,Construction
DXG,Construction
EVG,Construction
FCN,Construction
FDC,Construction
FIR,Construction
FLC,Construction
HAR,Construction
HAS,Construction
HBC,Construction
HDC,Construction
HDG,Construction
HPX,Construction
HQC,Construction
HTI,Construction
HTN,Construction
HU1,Construction
HU3,Construction
HUB,Construction
HVH,Construction
IJC,Construction
ITA,Construction
ITC,Construction
KBC,Construction
KDH,Construction
KOS,Construction
L10,Construction
LCG,Construction
LDG,Construction
LEC,Construction
LGC,Construction
LGL,Construction
LHG,Construction
LM8,Construction
NBB,Construction
NHA,Construction
NLG,Construction
NTL,Construction
NVL,Construction
PC1,Construction
PDR,Construction
PHC,Construction
PTC,Construction
PTL,Construction
PXI,Construction
PXS,Construction
QCG,Construction
REE,Construction
ROS,Construction
SC5,Construction
SCR,Construction
SGR,Construction
SJS,Construction
SRF,Construction
SZC,Construction
SZL,Construction
TCD,Construction
TCH,Construction
TDC,Construction
TDH,Construction
TGG,Construction
TIP,Construction
TIX,Construction
TN1,Construction
UDC,Construction
VCG,Construction
VHM,Construction
VIC,Construction
VNE,Construction
VPH,Construction
VPI,Construction
VRC,Construction
VRE,Construction
VSI,Construction
AAA,Manufacturing
AAM,Manufacturing
ABT,Manufacturing
ACC,Manufacturing
ACL,Manufacturing
ADS,Manufacturing
AGM,Manufacturing
ANV,Manufacturing
APH,Manufacturing
BBC,Manufacturing
BFC,Manufacturing
BHN,Manufacturing
BKG,Manufacturing
BMP,Manufacturing
BRC,Manufacturing
CAV,Manufacturing
CLC,Manufacturing
CMX,Manufacturing
CRC,Manufacturing
CSM,Manufacturing
CSV,Manufacturing
CVT,Manufacturing
DAG,Manufacturing
DAT,Manufacturing
DBC,Manufacturing
DBD,Manufacturing
DCL,Manufacturing
DCM,Manufacturing
DGC,Manufacturing
DHC,Manufacturing
DHG,Manufacturing
DLG,Manufacturing
DMC,Manufacturing
DPM,Manufacturing
DPR,Manufacturing
DQC,Manufacturing
DRC,Manufacturing
DTL,Manufacturing
DTT,Manufacturing
EMC,Manufacturing
EVE,Manufacturing
FCM,Manufacturing
FIT,Manufacturing
FMC,Manufacturing
FTM,Manufacturing
GAB,Manufacturing
GDT,Manufacturing
GEX,Manufacturing
GIL,Manufacturing
GMC,Manufacturing
GTA,Manufacturing
GTN,Manufacturing
GVR,Manufacturing
HAP,Manufacturing
HCD,Manufacturing
HHP,Manufacturing
HII,Manufacturing
HPG,Manufacturing
HRC,Manufacturing
HSG,Manufacturing
HT1,Manufacturing
HVX,Manufacturing
IDI,Manufacturing
IMP,Manufacturing
KDC,Manufacturing
KMR,Manufacturing
LAF,Manufacturing
LBM,Manufacturing
LIX,Manufacturing
LSS,Manufacturing
MCG,Manufacturing
MCP,Manufacturing
MSH,Manufacturing
MSN,Manufacturing
NAF,Manufacturing
NHH,Manufacturing
NKG,Manufacturing
OPC,Manufacturing
PAC,Manufacturing
PAN,Manufacturing
PHR,Manufacturing
PLP,Manufacturing
PME,Manufacturing
PNJ,Manufacturing
POM,Manufacturing
RAL,Manufacturing
RDP,Manufacturing
SAB,Manufacturing
SAM,Manufacturing
SAV,Manufacturing
SBT,Manufacturing
SBV,Manufacturing
SCD,Manufacturing
SFG,Manufacturing
SHA,Manufacturing
SHI,Manufacturing
SMB,Manufacturing
SPM,Manufacturing
SRC,Manufacturing
STK,Manufacturing
SVD,Manufacturing
SVI,Manufacturing
SVT,Manufacturing
TAC,Manufacturing
TCM,Manufacturing
TCR,Manufacturing
TDP,Manufacturing
TEG,Manufacturing
THG,Manufacturing
THI,Manufacturing
TLD,Manufacturing
TLG,Manufacturing
TMT,Manufacturing
TNC,Manufacturing
TPC,Manufacturing
TRA,Manufacturing
TRC,Manufacturing
TS4,Manufacturing
TTF,Manufacturing
TVT,Manufacturing
TYA,Manufacturing
VAF,Manufacturing
VCA,Manufacturing
VCF,Manufacturing
VDP,Manufacturing
VHC,Manufacturing
VIS,Manufacturing
VNM,Manufacturing
VPS,Manufacturing
VTB,Manufacturing
YBM,Manufacturing
AAT,Wholesale
ABS,Wholesale
DBT,Wholesale
DGW,Wholesale
DXV,Wholesale
HAI,Wholesale
HHS,Wholesale
HMC,Wholesale
HTL,Wholesale
JVC,Wholesale
PET,Wholesale
PIT,Wholesale
PLX,Wholesale
PMG,Wholesale
PSH,Wholesale
PTB,Wholesale
QBS,Wholesale
SGT,Wholesale
SMA,Wholesale
SMC,Wholesale
ST8,Wholesale
TDG,Wholesale
TLH,Wholesale
TNA,Wholesale
TNI,Wholesale
TSC,Wholesale
TTB,Wholesale
VFG,Wholesale
VID,Wholesale
VMD,Wholesale
VPG,Wholesale
AMD,Retail
AST,Retail
BTT,Retail
CCI,Retail
CMV,Retail
COM,Retail
CTF,Retail
FRT,Retail
HAX,Retail
MWG,Retail
NAV,Retail
PNC,Retail
SFC,Retail
SVC,Retail
VGC,Retail
ASG,Transport
CLL,Transport
DVP,Transport
GMD,Transport
GSP,Transport
HAH,Transport
HTV,Transport
HVN,Transport
ILB,Transport
MHC,Transport
NCT,Transport
PDN,Transport
PJT,Transport
PVT,Transport
SCS,Transport
SFI,Transport
SGN,Transport
SKG,Transport
STG,Transport
TCL,Transport
TCO,Transport
TCT,Transport
TMS,Transport
VIP,Transport
VJC,Transport
VNL,Transport
VNS,Transport
VOS,Transport
